10100	20011	20110	20011	10100	31011	11000	11000	10100	41111	20101	20011	10100	31101	10001	11000
10100	30111	20101	10001	10010	21010	20110	20011	21010	21010	11000	21010	21100	31101	20101	21001
10010	20110	30111	20011	21010	21010	21010	11000	31110	41111	41111	10001	21100	31101	31101	10001
20110	20011	10100	10001	21010	31110	30111	20011	11000	21100	21001	21010	10100	10001	10100	21001
20110	20011	10100	20011	21100	31101	20011	21010	10010	10100	31101	31011	21100	20101	10001	11000
20110	10001	20110	10001	21010	10100	41111	20011	31110	10001	21010	21010	21100	20101	21001	11000
20110	20101	30111	10001	31110	10001	21100	20011	21100	20101	20011	21010	10100	10001	21100	21001
20110	30111	20011	10010	21100	21001	31110	21001	10010	10100	41111	10001	21100	10001	21100	10001
20110	20101	20011	10010	31110	20011	21010	11000	11000	21100	31101	20011	10100	10001	10100	21001
20110	10001	20110	10001	21010	20110	31101	20011	21010	21010	20110	31011	21100	31101	31101	21001
